"id","name","exception_code","exemption_rate","invoice_type","note","country_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@tr","note@tr"
"tr_fp_201","Kültür ve Eğitim Amacı Taşıyan İşlemler",201,"100","exception","17/1 Kültür ve Eğitim Amacı Taşıyan İşlemler","base.tr","tr_kdv_sale_01","tr_kdv_sale_00","Kültür ve Eğitim Amacı Taşıyan İşlemler","17/1 Kültür ve Eğitim Amacı Taşıyan İşlemler"
,,,,,,,"tr_kdv_sale_10","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_sale_20","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_sale_01_i","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_sale_10_i","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_sale_20_i","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_purchase_01","tr_kdv_purchase_00",,
,,,,,,,"tr_kdv_purchase_10","tr_kdv_purchase_00",,
,,,,,,,"tr_kdv_purchase_20","tr_kdv_purchase_00",,
,,,,,,,"tr_kdv_purchase_01_i","tr_kdv_purchase_00",,
,,,,,,,"tr_kdv_purchase_10_i","tr_kdv_purchase_00",,
,,,,,,,"tr_kdv_purchase_20_i","tr_kdv_purchase_00",,
"tr_fp_202","Sağlık, Çevre Ve Sosyal Yardım Amaçlı İşlemler",202,"100","exception","17/2-a Sağlık, Çevre Ve Sosyal Yardım Amaçlı İşlemler","base.tr","tr_kdv_sale_01","tr_kdv_sale_00","Sağlık, Çevre Ve Sosyal Yardım Amaçlı İşlemler","17/2-a Sağlık, Çevre Ve Sosyal Yardım Amaçlı İşlemler"
,,,,,,,"tr_kdv_sale_10","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_sale_20","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_sale_01_i","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_sale_10_i","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_sale_20_i","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_purchase_01","tr_kdv_purchase_00",,
,,,,,,,"tr_kdv_purchase_10","tr_kdv_purchase_00",,
,,,,,,,"tr_kdv_purchase_20","tr_kdv_purchase_00",,
,,,,,,,"tr_kdv_purchase_01_i","tr_kdv_purchase_00",,
,,,,,,,"tr_kdv_purchase_10_i","tr_kdv_purchase_00",,
,,,,,,,"tr_kdv_purchase_20_i","tr_kdv_purchase_00",,
"tr_fp_204","Yabancı Diplomatik Organ Ve Hayır Kurumlarının Yapacakları Bağışlarla İlgili Mal Ve Hizmet Alışları",204,"100","exception","17/2-c Yabancı Diplomatik Organ Ve Hayır Kurumlarının Yapacakları Bağışlarla İlgili Mal Ve Hizmet Alışları","base.tr","tr_kdv_sale_01","tr_kdv_sale_00","Yabancı Diplomatik Organ Ve Hayır Kurumlarının Yapacakları Bağışlarla İlgili Mal Ve Hizmet Alışları","17/2-c Yabancı Diplomatik Organ Ve Hayır Kurumlarının Yapacakları Bağışlarla İlgili Mal Ve Hizmet Alışları"
,,,,,,,"tr_kdv_sale_10","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_sale_20","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_sale_01_i","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_sale_10_i","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_sale_20_i","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_purchase_01","tr_kdv_purchase_00",,
,,,,,,,"tr_kdv_purchase_10","tr_kdv_purchase_00",,
,,,,,,,"tr_kdv_purchase_20","tr_kdv_purchase_00",,
,,,,,,,"tr_kdv_purchase_01_i","tr_kdv_purchase_00",,
,,,,,,,"tr_kdv_purchase_10_i","tr_kdv_purchase_00",,
,,,,,,,"tr_kdv_purchase_20_i","tr_kdv_purchase_00",,
"tr_fp_205","Taşınmaz Kültür Varlıklarına İlişkin Teslimler ve Mimarlık Hizmetleri",205,"100","exception","17/2-d Taşınmaz Kültür Varlıklarına İlişkin Teslimler ve Mimarlık Hizmetleri","base.tr","tr_kdv_sale_01","tr_kdv_sale_00","Taşınmaz Kültür Varlıklarına İlişkin Teslimler ve Mimarlık Hizmetleri","17/2-d Taşınmaz Kültür Varlıklarına İlişkin Teslimler ve Mimarlık Hizmetleri"
,,,,,,,"tr_kdv_sale_10","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_sale_20","tr_kdv_sale_00",,
,,,,,,,"tr_kdv_sale_01_i","tr_kdv_sale_00",,
