"id","parent_id","code_prefix_start","code_prefix_end","name","name@tr"
"tr_group_100","tr_group_10","100","100","KASA","KASA"
"tr_group_101","tr_group_10","101","101","ALINAN ÇEKLER","ALINAN ÇEKLER"
"tr_group_102","tr_group_10","102","102","BANKALAR","BANKALAR"
"tr_group_103","tr_group_10","103","103","VERİLEN ÇEKLER VE ÖDEME EMİRLERİ (-)","VERİLEN ÇEKLER VE ÖDEME EMİRLERİ (-)"
"tr_group_108","tr_group_10","108","108","DİĞER HAZIR DEĞERLER","DİĞER HAZIR DEĞERLER"
"tr_group_110","tr_group_11","110","110","HİSSE SENETLERİ","HİSSE SENETLERİ"
"tr_group_111","tr_group_11","111","111","ÖZEL KESİM TAHVİL, SENET VE BONOLARI","ÖZEL KESİM TAHVİL, SENET VE BONOLARI"
"tr_group_112","tr_group_11","112","112","KAMU KESİMİ TAHVİL, SENET VE BONOLARI","KAMU KESİMİ TAHVİL, SENET VE BONOLARI"
"tr_group_118","tr_group_11","118","118","DİĞER MENKUL KIYMETLER","DİĞER MENKUL KIYMETLER"
"tr_group_119","tr_group_11","119","119","MENKUL KIYMETLER DEĞER DÜŞÜKLÜĞÜ KARŞILIĞI (-)","MENKUL KIYMETLER DEĞER DÜŞÜKLÜĞÜ KARŞILIĞI (-)"
"tr_group_120","tr_group_12","120","120","ALICILAR","ALICILAR"
"tr_group_121","tr_group_12","121","121","ALACAK SENETLERİ","ALACAK SENETLERİ"
"tr_group_122","tr_group_12","122","122","ALACAK SENETLERİ REESKONTU (-)","ALACAK SENETLERİ REESKONTU (-)"
"tr_group_126","tr_group_12","126","126","VERİLEN DEPOZİTO VE TEMİNATLAR","VERİLEN DEPOZİTO VE TEMİNATLAR"
"tr_group_128","tr_group_12","128","128","ŞÜPHELİ TİCARİ ALACAKLAR","ŞÜPHELİ TİCARİ ALACAKLAR"
"tr_group_129","tr_group_12","129","129","ŞÜPHELİ TİCARİ ALACAKLAR KARŞILIĞI (-)","ŞÜPHELİ TİCARİ ALACAKLAR KARŞILIĞI (-)"
"tr_group_131","tr_group_13","131","131","ORTAKLARDAN ALACAKLAR","ORTAKLARDAN ALACAKLAR"
"tr_group_132","tr_group_13","132","132","İŞTİRAKLERDEN ALACAKLAR","İŞTİRAKLERDEN ALACAKLAR"
"tr_group_133","tr_group_13","133","133","BAĞLI ORTAKLIKLARDAN ALACAKLAR","BAĞLI ORTAKLIKLARDAN ALACAKLAR"
"tr_group_135","tr_group_13","135","135","PERSONELDEN ALACAKLAR","PERSONELDEN ALACAKLAR"
"tr_group_136","tr_group_13","136","136","DİĞER ÇEŞİTLİ ALACAKLAR","DİĞER ÇEŞİTLİ ALACAKLAR"
