id,sequence,description,invoice_label,name,price_include,amount,amount_type,children_tax_ids,type_tax_use,tax_group_id,price_include_override,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/account_id,repartition_line_ids/tag_ids,description@tr
tr_kdv_sale_00,100,KDV %0,,KDV %0,,0.0,percent,,sale,tr_tax_group_K0000,tax_excluded,base,invoice,,,KDV %0
,,,,,,,,,,,,tax,invoice,,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,,,
tr_kdv_purchase_00,100,KDV %0 (Alış),,KDV %0 Alış,,0.0,percent,,purchase,tr_tax_group_K0000,tax_excluded,base,invoice,,,KDV %0 (Alış)
,,,,,,,,,,,,tax,invoice,,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,,,
tr_kdv_purchase_01,10,KDV %1 (Alış),,KDV %1 Alış,,1.0,percent,,purchase,tr_tax_group_K0001,tax_excluded,base,invoice,,,KDV %1 (Alış)
,,,,,,,,,,,,tax,invoice,tr191010801,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,tr391000201,,
tr_kdv_purchase_01_i,20,KDV %1 (Alış) (Dahil),,KDV %1 Alış Dahil,True,1.0,percent,,purchase,tr_tax_group_K0001,tax_included,base,invoice,,,KDV %1 (Alış) (Dahil)
,,,,,,,,,,,,tax,invoice,tr191010801,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,tr391000201,,
tr_kdv_sale_01,10,KDV %1 (Satış),,KDV %1 Satış,,1.0,percent,,sale,tr_tax_group_K0001,tax_excluded,base,invoice,,,KDV %1 (Satış)
,,,,,,,,,,,,tax,invoice,tr391000001,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,tr191020101,,
tr_kdv_sale_01_i,20,KDV %1 (Satış) (Dahil),,KDV %1 Satış Dahil,True,1.0,percent,,sale,tr_tax_group_K0001,tax_included,base,invoice,,,KDV %1 (Satış) (Dahil)
,,,,,,,,,,,,tax,invoice,tr391000001,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,tr191020101,,
tr_kdv_purchase_10,10,KDV %10 (Alış),,KDV %10 Alış,,10.0,percent,,purchase,tr_tax_group_K0010,tax_excluded,base,invoice,,,KDV %10 (Alış)
,,,,,,,,,,,,tax,invoice,tr191010810,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,tr391000210,,
tr_kdv_purchase_10_i,20,KDV %10 (Alış) (Dahil),,KDV %10 Alış Dahil,True,10.0,percent,,purchase,tr_tax_group_K0010,tax_included,base,invoice,,,KDV %10 (Alış) (Dahil)
,,,,,,,,,,,,tax,invoice,tr191010810,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,tr391000210,,
tr_kdv_sale_10,10,KDV %10 (Satış),,KDV %10 Satış,,10.0,percent,,sale,tr_tax_group_K0010,tax_excluded,base,invoice,,,KDV %10 (Satış)
,,,,,,,,,,,,tax,invoice,tr391000010,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,tr191020110,,
tr_kdv_sale_10_i,20,KDV %10 (Satış) (Dahil),,KDV %10 Satış Dahil,True,10.0,percent,,sale,tr_tax_group_K0010,tax_included,base,invoice,,,KDV %10 (Satış) (Dahil)
,,,,,,,,,,,,tax,invoice,tr391000010,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,tr191020110,,
tr_kdv_purchase_20,10,KDV %20 (Alış),,KDV %20 Alış,,20.0,percent,,purchase,tr_tax_group_K0020,tax_excluded,base,invoice,,,KDV %20 (Alış)
,,,,,,,,,,,,tax,invoice,tr191010820,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,tr391000220,,
tr_kdv_purchase_20_i,20,KDV %20 (Alış) (Dahil),,KDV %20 Alış Dahil,True,20.0,percent,,purchase,tr_tax_group_K0020,tax_included,base,invoice,,,KDV %20 (Alış) (Dahil)
,,,,,,,,,,,,tax,invoice,tr191010820,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,tr391000220,,
tr_kdv_sale_20,10,KDV %20 (Satış),,KDV %20 Satış,,20.0,percent,,sale,tr_tax_group_K0020,tax_excluded,base,invoice,,,KDV %20 (Satış)
,,,,,,,,,,,,tax,invoice,tr391000020,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,tr191020120,,
tr_kdv_sale_20_i,20,KDV %20 (Satış) (Dahil),,KDV %20 Satış Dahil,True,20.0,percent,,sale,tr_tax_group_K0020,tax_included,base,invoice,,,KDV %20 (Satış) (Dahil)
,,,,,,,,,,,,tax,invoice,tr391000020,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,tr191020120,,
tr_kdv_wh_20,100,KDV %20 (Tevfik edilen),,KDV %20 Tevfik edilen,,20.0,percent,,sale,tr_tax_group_K0020,tax_excluded,base,invoice,,,KDV %20 (Tevfik edilen)
,,,,,,,,,,,,tax,invoice,tr391000120,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,tr191020120,,
tr_kdv_wh_20_i,100,KDV %20 (Tevfik edilen) (Dahil),,KDV %20 Tevfik edilen Dahil,True,20.0,percent,,sale,tr_tax_group_K0020,tax_included,base,invoice,,,KDV %20 (Tevfik edilen) (Dahil)
,,,,,,,,,,,,tax,invoice,tr391000120,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,tr191020120,,
tr_kdv_sale_20_wh_10,110,Tevkif Edilmiş KDV %20 (Tevkifat 10/10),,Tevkif Edilmiş KDV %20 Tevkifat 10-10,,-20.0,percent,,none,tr_tax_group_T0100,tax_excluded,base,invoice,,,Tevkif Edilmiş KDV %20 (Tevkifat 10/10)
,,,,,,,,,,,,tax,invoice,tr391000120,,
,,,,,,,,,,,,base,refund,,,
,,,,,,,,,,,,tax,refund,tr191020120,,
