"id","code","name","country_id","name@tr"
"tr_tax_group_0003","0003","GV STOPAJI","base.tr","GV STOPAJI"
"tr_tax_group_K0000","0015","KDV %0","base.tr","KDV %0"
"tr_tax_group_K0001","0015","KDV %1","base.tr","KDV %1"
"tr_tax_group_K0010","0015","KDV %10","base.tr","KDV %10"
"tr_tax_group_K0020","0015","KDV %20","base.tr","KDV %20"
"tr_tax_group_T0020","4017","KDV TEVKİFAT 2/10","base.tr","KDV TEVKİFAT 2/10"
"tr_tax_group_T0030","4017","KDV TEVKİFAT 3/10","base.tr","KDV TEVKİFAT 3/10"
"tr_tax_group_T0040","4017","KDV TEVKİFAT 4/10","base.tr","KDV TEVKİFAT 4/10"
"tr_tax_group_T0050","4017","KDV TEVKİFAT 5/10","base.tr","KDV TEVKİFAT 5/10"
"tr_tax_group_T0070","4017","KDV TEVKİFAT 7/10","base.tr","KDV TEVKİFAT 7/10"
"tr_tax_group_T0090","4017","KDV TEVKİFAT 9/10","base.tr","KDV TEVKİFAT 9/10"
"tr_tax_group_T0100","4017","KDV TEVKİFAT 10/10","base.tr","KDV TEVKİFAT 10/10"
"tr_tax_group_0011","0011","KV STOPAJI","base.tr","KV STOPAJI"
"tr_tax_group_0021","0021","BMV","base.tr","BMV"
"tr_tax_group_0022","0022","SMV","base.tr","SMV"
"tr_tax_group_0061","0061","KKDF KESİNTİ","base.tr","KKDF KESİNTİ"
"tr_tax_group_0071","0071","ÖTV 1.LİSTE","base.tr","ÖTV 1.LİSTE"
"tr_tax_group_9077","9077","ÖTV 2.LİSTE","base.tr","ÖTV 2.LİSTE"
"tr_tax_group_0073","0073","ÖTV 3.LİSTE","base.tr","ÖTV 3.LİSTE"
"tr_tax_group_0074","0074","ÖTV 4.LİSTE","base.tr","ÖTV 4.LİSTE"
"tr_tax_group_0075","0075","ÖTV 3A LİSTE","base.tr","ÖTV 3A LİSTE"
"tr_tax_group_0076","0076","ÖTV 3B LİSTE","base.tr","ÖTV 3B LİSTE"
"tr_tax_group_0077","0077","ÖTV 3C LİSTE","base.tr","ÖTV 3C LİSTE"
"tr_tax_group_1047","1047","DAMGA V","base.tr","DAMGA V"
"tr_tax_group_1048","1048","5035 SK DAMGAV","base.tr","5035 SK DAMGAV"
"tr_tax_group_4071","4071","ELK.HAVAGAZ.TÜK.VER.","base.tr","ELK.HAVAGAZ.TÜK.VER."
"tr_tax_group_4080","4080","Ö.İLETİŞİM V","base.tr","Ö.İLETİŞİM V"
"tr_tax_group_4081","4081","5035 ÖZ İLET V.","base.tr","5035 ÖZ İLET V."
"tr_tax_group_4171","4171","PTR-DGZ ÖTV TEVKİFAT","base.tr","PTR-DGZ ÖTV TEVKİFAT"
"tr_tax_group_8001","8001","BORSA TES.ÜC.","base.tr","BORSA TES.ÜC."
"tr_tax_group_8002","8002","ENERJİ FONU","base.tr","ENERJİ FONU"
"tr_tax_group_8004","8004","TRT PAYI","base.tr","TRT PAYI"
"tr_tax_group_8005","8005","ELK.TÜK.VER.","base.tr","ELK.TÜK.VER."
"tr_tax_group_8006","8006","TK KULLANIM","base.tr","TK KULLANIM"
"tr_tax_group_8008","8008","ÇEV. TEM .VER.","base.tr","ÇEV. TEM .VER."
"tr_tax_group_9021","9021","4961 BANKA SMV","base.tr","4961 BANKA SMV"
"tr_tax_group_9040","9040","MERA FONU","base.tr","MERA FONU"
"tr_tax_group_9944","9944","BEL.ÖD.HAL RÜSUM","base.tr","BEL.ÖD.HAL RÜSUM"
"tr_tax_group_8007","8007","TK RUHSAT","base.tr","TK RUHSAT"
